market_trend_id,trend_name,trend_description,trend_start_date,trend_end_date,region,industry,impact_level,created_date,updated_date,status
789,close,"Meet or see food. Billion my huge build.
Degree for six watch owner serious walk. Above heart side both do half. Green could hold huge here.
Set mission usually small. Beat level country and.",2023-09-27,2021-10-01,picture,some,High,2021-12-18,2022-10-19,Inactive
839,treat,Worker accept parent control father sport more two. Price than despite will quickly. Offer kitchen religious there gas. Term live effect tax raise upon.,2020-07-04,2020-01-06,power,reveal,Low,2023-02-28,2022-10-31,Inactive
896,single,"Smile feeling economy teach. Point including out treatment senior consider health.
She agency house suggest plant class. Just particular rest phone close student. View degree crime good rock around.",2023-10-13,2021-05-24,I,on,Low,2023-03-24,2022-07-27,Inactive
409,hard,"Their natural get. Direction she fact. To thus time alone usually page.
Shake individual interesting order serve house Mr. Message film past no at. Argue member two. Entire third off place forget.",2022-12-07,2021-04-07,practice,phone,Medium,2020-11-14,2020-04-30,Active
130,trade,Forget specific interest station address. Any learn wide maybe claim. Operation exist election one.,2024-04-03,2023-05-09,camera,trip,High,2020-11-06,2022-06-20,Active
861,so,"Movement their successful key prove now. About father compare.
Information number say. Believe soldier I key team military.
Yard mother way door.",2021-04-19,2020-02-15,other,black,High,2021-09-10,2022-06-15,Active
264,effort,"Technology through general apply author. Religious election population name teach room guess.
Cold ready social less defense investment. Imagine write bed attention every product easy social.",2022-10-31,2024-05-23,project,give,Medium,2021-08-02,2024-05-11,Active
766,picture,"Protect enter thousand cup. Camera important collection air put voice music.
Treat assume save word show Congress true.
Ready free scientist low former. Energy prevent else very director.",2020-02-12,2023-05-05,film,ago,Low,2023-07-02,2023-12-19,Inactive
462,wind,"Reality seem research. Article marriage scientist apply imagine.
Consider stop available hard. Remember decide lead group artist pick. Travel green hotel president modern society position world.",2022-09-27,2020-06-11,I,suggest,High,2022-07-11,2021-05-31,Inactive
318,tough,Garden only begin support inside international. Affect either have less born understand.,2022-11-09,2020-12-25,campaign,keep,High,2024-04-16,2020-12-22,Active
465,party,Half product give interview vote job. Agent suggest city mission budget American name. Person close discuss second run factor.,2020-10-04,2024-02-26,those,audience,Low,2022-03-20,2021-03-11,Active
249,near,"Red get grow sense environmental table. Throughout campaign lead than thing. Seek industry dark out report.
Teacher most message. Identify else operation high close light seek color.",2021-11-17,2022-12-18,what,ago,Low,2023-07-14,2023-01-01,Active
310,station,"Certain economic east arm enter site. Deep score fact begin beyond across.
Sure assume president article necessary. Enjoy require as seem go south player training. Worker three room enough allow.",2021-09-02,2023-08-27,court,wife,Low,2023-10-06,2022-12-17,Inactive
83,beautiful,"Everyone bit might really book might.
Hit use around rise firm suddenly fund. Arrive part choice west anyone idea cultural simple.",2021-09-27,2024-06-26,whether,most,Low,2024-07-03,2024-02-26,Inactive
135,building,"Bring recognize unit. Cell business suffer edge.
Movement result student school likely approach. Coach option rest table computer in. Late kind final deep some produce another establish.",2024-05-22,2023-07-28,ability,simply,High,2020-03-25,2021-09-02,Inactive
426,surface,"White event performance certain short impact stock. Career compare trip exactly remain. Plant kind audience century girl road.
International than so.",2020-12-05,2022-03-10,join,parent,High,2023-03-11,2020-02-13,Active
188,test,"Tree race road foreign. Large figure commercial yard. School sound order pattern. Concern morning cost.
Receive them particular move less. What right media card watch. Pick most two shake simply.",2024-07-09,2021-02-02,war,share,Low,2022-11-20,2020-11-15,Inactive
309,message,"South hear entire operation than. Baby audience free develop participant middle think board.
Similar light hope car budget. She start ground cultural lot how.
Sell partner product.",2022-01-01,2020-08-01,would,community,Low,2024-02-28,2022-10-01,Inactive
244,tonight,Hold situation realize find yard week high. Standard left structure ago range.,2022-06-20,2024-06-29,newspaper,there,Medium,2024-05-19,2024-05-28,Inactive
809,car,"Social bag hold response situation week. Whom pay indicate recently accept.
Personal radio oil child through. World risk current argue.",2020-12-31,2021-10-16,lawyer,listen,Low,2020-02-19,2024-05-28,Active
874,small,"Able drop whether do. List defense against leave character my.
First somebody close glass glass back drug. Bit expect management own however risk hour. Role from water.",2021-06-17,2022-01-09,more,scientist,Medium,2022-08-31,2023-12-18,Inactive
312,interesting,"Want morning suffer above discuss shake.
Heart itself buy get forget wife. Word final where region but including just. Like responsibility sometimes natural.",2023-11-11,2024-03-19,just,behavior,Low,2022-06-20,2021-12-28,Active
571,set,Enjoy and him shake just begin. Plant against few if computer indeed affect.,2021-10-18,2021-05-13,while,prove,Low,2022-06-08,2022-04-18,Inactive
43,loss,"Consider day decide rock leave play. Section turn war accept often. Real yeah section southern.
Letter quite eye. Reduce his wait action there.",2023-03-09,2023-02-11,TV,far,Medium,2024-05-04,2023-01-29,Inactive
838,discussion,"Once involve establish value agent early sea. Fact put pass design position.
That step hope enter evidence relate enough. Movement visit to. Stop respond these particularly sound.",2023-05-27,2022-06-12,poor,describe,High,2022-02-03,2020-03-30,Active
636,outside,War carry trouble project usually we economy. Either magazine head. Dream pretty thought.,2023-05-04,2020-04-04,everything,these,High,2024-05-28,2021-03-10,Inactive
98,include,"Draw doctor staff and allow poor.
Take store hour man.
Peace image movement before record position exist. Medical expert she long respond. Garden it him measure participant together.",2023-05-10,2024-04-11,safe,dog,High,2022-04-03,2021-06-15,Inactive
628,expect,Senior sense little because hot similar. Ability set wonder customer smile capital perhaps hope. Later speak discussion study analysis.,2022-04-28,2020-07-29,partner,several,Medium,2020-11-04,2023-12-03,Active
658,somebody,"Director any free happen American. Try less network south. Institution necessary surface kitchen.
Already analysis college what individual lose. Forget lead job there become listen.",2022-09-22,2023-08-31,member,art,Medium,2022-10-16,2020-08-15,Active
